,Œ‚«Ì,,QWE,,’‘‘Ω
1E-05,1.3674015842671E-05,,5.9926408864562E-05,,1.3674015842671E-05
1.258925E-05,1.6708878689687E-06,,1.6708878689687E-06,,5.5474974472299E-05
1.584893E-05,5.494654667164E-06,,8.0281470732226E-05,,8.0281470732226E-05
1.995262E-05,1.7953126968313E-05,,0.00013140086334961,,0.00010046057160926
2.511886E-05,5.8347123748951E-06,,6.538675247741E-05,,9.5162772528667E-05
3.162278E-05,6.3282042750597E-06,,8.3043176539676E-05,,8.3043176539676E-05
3.981072E-05,2.2917106570295E-05,,8.0985930008561E-05,,8.0985930008561E-05
5.011872E-05,3.6744978542655E-05,,7.3531867777831E-05,,7.3531867777831E-05
6.309573E-05,4.2057562289186E-05,,0.0001317683238616,,0.0001317683238616
7.943282E-05,4.9839168152095E-07,,8.9630869281246E-05,,4.5064630481383E-05
0.0001,2.5042378993637E-06,,0.00012725990079086,,2.7455370464983E-05
0.0001258925,2.0854580665616E-05,,0.00019040749775749,,6.3242809947562E-05
0.0001584893,4.0769744094978E-05,,0.00025878277087126,,4.0769744094978E-05
0.0001995262,9.6650222075972E-05,,0.00025979800643886,,0.0001217498812077
0.0002511886,5.2848391819441E-05,,0.00011824461940118,,3.1049649280655E-05
0.0003162278,7.2089895908394E-07,,0.00026698933140809,,7.2089895908394E-07
0.0003981072,0.00010657484489788,,0.00022651657520125,,0.00010657484489788
0.0005011872,0.00010857133683181,,0.00024244956037545,,9.6870640262367E-05
0.0006309573,0.00011587965395551,,0.00052263239039894,,0.00011587965395551
0.0007943282,0.00016756106795074,,0.00070416249061852,,0.00013123925301085
0.001,0.00016681726245098,,0.0015649050826733,,0.00016681726245098
0.001258925,0.00040954698151595,,0.00036419832067599,,0.00040954698151595
0.001584893,0.00073774653707389,,9.5982943239786E-05,,0.00073774653707389
0.001995262,0.0014687527807215,,0.0020367023319444,,0.0014687527807215
0.002511886,0.00024171166914297,,7.2527083398826E-05,,0.00024171166914297
0.003162278,0.001775978873034,,0.0019985763839922,,0.001775978873034
0.003981072,0.0014106818364525,,0.0012727095481353,,0.0014106818364525
0.005011872,0.00084691549475748,,0.00091672676989606,,0.00084691549475748
0.006309573,0.0013791982647861,,0.0014410026302181,,0.0013791982647861
0.007943282,0.0031348032143272,,0.003167624626731,,0.0031348032143272
0.01,0.0018031592619038,,0.0018031592619038,,0.0018225178418942
0.01258925,0.004944874918264,,0.004944874918264,,0.004944874918264
0.01584893,0.0052486790868654,,0.0052486790868654,,0.0053092103927662
0.01995262,1.3764652434238E-05,,1.3764652434238E-05,,1.3764652434238E-05
0.02511886,0.00583600441043,,0.0058548893315046,,0.00583600441043
0.03162278,0.00068806955489097,,0.00072138531245566,,0.00068806955489097
0.03981072,0.015407367792872,,0.015583577933434,,0.015407367792872
0.05011872,0.01745266683757,,0.017576753061531,,0.01745266683757
0.06309573,0.001721112913875,,0.00011998991681949,,0.001721112913875
0.07943282,0.00039919489085692,,0.0037888790591419,,0.00039919489085692
0.1,0.021789719022631,,0.030207257158594,,0.021789719022631
