Œ‚«Ì,,,,’‘‘Ω,,,,QWE
1E-05,0.000216205,,,1E-05,0.0002163293,,,1E-05,0.0002163293
1.258925E-05,0.0001749908,,,1.258925E-05,0.0001717236,,,1.258925E-05,0.0001717237
1.584893E-05,0.0001337134,,,1.584893E-05,0.0001297481,,,1.584893E-05,0.000129748
1.995262E-05,9.696093E-05,,,1.995262E-05,9.362626E-05,,,1.995262E-05,9.362625E-05
2.511886E-05,6.716814E-05,,,2.511886E-05,6.482157E-05,,,2.511886E-05,6.482159E-05
3.162278E-05,4.475706E-05,,,3.162278E-05,4.32817E-05,,,3.162278E-05,4.32817E-05
3.981072E-05,2.887308E-05,,,3.981072E-05,2.8016E-05,,,3.981072E-05,2.801599E-05
5.011872E-05,1.813618E-05,,,5.011872E-05,1.76665E-05,,,5.011872E-05,1.76665E-05
6.309573E-05,1.114693E-05,,,6.309573E-05,1.090069E-05,,,6.309573E-05,1.090069E-05
7.943282E-05,6.731553E-06,,,7.943282E-05,6.606777E-06,,,7.943282E-05,6.606777E-06
0.0001,4.007834E-06,,,0.0001,3.946254E-06,,,0.0001,3.946254E-06
0.0001258925,2.359145E-06,,,0.0001258925,2.329372E-06,,,0.0001258925,2.329372E-06
0.0001584893,1.376064E-06,,,0.0001584893,1.361897E-06,,,0.0001584893,1.361897E-06
0.0001995262,7.968228E-07,,,0.0001995262,7.90165E-07,,,0.0001995262,7.90165E-07
0.0002511886,4.587423E-07,,,0.0002511886,4.556429E-07,,,0.0002511886,4.556429E-07
0.0003162278,2.628926E-07,,,0.0003162278,2.614599E-07,,,0.0003162278,2.614599E-07
0.0003981072,1.501091E-07,,,0.0003981072,1.494501E-07,,,0.0003981072,1.494501E-07
0.0005011872,8.546509E-08,,,0.0005011872,8.5163E-08,,,0.0005011872,8.5163E-08
0.0006309573,4.855032E-08,,,0.0006309573,4.841204E-08,,,0.0006309573,4.841205E-08
0.0007943282,2.753171E-08,,,0.0007943282,2.74684E-08,,,0.0007943282,2.746841E-08
0.001,1.559144E-08,,,0.001,1.556241E-08,,,0.001,1.556242E-08
0.001258925,8.820511E-09,,,0.001258925,8.807139E-09,,,0.001258925,8.807141E-09
0.001584893,4.986223E-09,,,0.001584893,4.980023E-09,,,0.001584893,4.980026E-09
0.001995262,2.817193E-09,,,0.001995262,2.814288E-09,,,0.001995262,2.81429E-09
0.002511886,1.591143E-09,,,0.002511886,1.58976E-09,,,0.002511886,1.589762E-09
0.003162278,8.984986E-10,,,0.003162278,8.978273E-10,,,0.003162278,8.978287E-10
0.003981072,5.073411E-10,,,0.003981072,5.070065E-10,,,0.003981072,5.070075E-10
0.005011872,2.864891E-10,,,0.005011872,2.863172E-10,,,0.005011872,2.863182E-10
0.006309573,1.618031E-10,,,0.006309573,1.617118E-10,,,0.006309573,1.617127E-10
0.007943282,9.140661E-11,,,0.007943282,9.135645E-11,,,0.007943282,9.135615E-11
0.01,5.165575E-11,,,0.01,5.162732E-11,,,0.01,5.162831E-11
0.01258925,2.920428E-11,,,0.01258925,2.918773E-11,,,0.01258925,2.918971E-11
0.01584893,1.651951E-11,,,0.01584893,1.650966E-11,,,0.01584893,1.6506E-11
0.01995262,9.349881E-12,,,0.01995262,9.34392E-12,,,0.01995262,9.337492E-12
0.02511886,5.295539E-12,,,0.02511886,5.291886E-12,,,0.02511886,5.294548E-12
0.03162278,3.001562E-12,,,0.03162278,2.999303E-12,,,0.03162278,3.009528E-12
0.03981072,1.702775E-12,,,0.03981072,1.701369E-12,,,0.03981072,1.704152E-12
0.05011872,9.669007E-13,,,0.05011872,9.660214E-13,,,0.05011872,9.610446E-13
0.06309573,5.496237E-13,,,0.06309573,5.490724E-13,,,0.06309573,5.379546E-13
0.07943282,3.127917E-13,,,0.07943282,3.124452E-13,,,0.07943282,3.071502E-13
0.1,1.782382E-13,,,0.1,1.780202E-13,,,0.1,1.800041E-13
