Œ‚«Ì,,,,’‘‘Ω,,,,QWE
1E-05,0.0001774784,,,1E-05,0.0001774784,,,1E-05,0.0001774783
1.258925E-05,0.0001285437,,,1.258925E-05,0.0001285437,,,1.258925E-05,0.0001285437
1.584893E-05,8.778141E-05,,,1.584893E-05,8.778137E-05,,,1.584893E-05,8.778136E-05
1.995262E-05,5.865134E-05,,,1.995262E-05,5.86513E-05,,,1.995262E-05,5.86513E-05
2.511886E-05,3.987598E-05,,,2.511886E-05,3.987596E-05,,,2.511886E-05,3.987596E-05
3.162278E-05,2.825824E-05,,,3.162278E-05,2.825822E-05,,,3.162278E-05,2.825822E-05
3.981072E-05,2.089562E-05,,,3.981072E-05,2.08956E-05,,,3.981072E-05,2.08956E-05
5.011872E-05,1.5933E-05,,,5.011872E-05,1.593299E-05,,,5.011872E-05,1.593299E-05
6.309573E-05,1.239452E-05,,,6.309573E-05,1.239451E-05,,,6.309573E-05,1.239451E-05
7.943282E-05,9.774197E-06,,,7.943282E-05,9.774189E-06,,,7.943282E-05,9.774189E-06
0.0001,7.749203E-06,,,0.0001,7.749197E-06,,,0.0001,7.749196E-06
0.0001258925,6.090564E-06,,,0.0001258925,6.090559E-06,,,0.0001258925,6.09056E-06
0.0001584893,4.669279E-06,,,0.0001584893,4.669275E-06,,,0.0001584893,4.669275E-06
0.0001995262,3.447273E-06,,,0.0001995262,3.447271E-06,,,0.0001995262,3.447271E-06
0.0002511886,2.433165E-06,,,0.0002511886,2.433163E-06,,,0.0002511886,2.433163E-06
0.0003162278,1.637402E-06,,,0.0003162278,1.637401E-06,,,0.0003162278,1.637401E-06
0.0003981072,1.050788E-06,,,0.0003981072,1.050788E-06,,,0.0003981072,1.050788E-06
0.0005011872,6.443459E-07,,,0.0005011872,6.443456E-07,,,0.0005011872,6.443456E-07
0.0006309573,3.787539E-07,,,0.0006309573,3.787538E-07,,,0.0006309573,3.787538E-07
0.0007943282,2.142866E-07,,,0.0007943282,2.142865E-07,,,0.0007943282,2.142865E-07
0.001,1.172383E-07,,,0.001,1.172383E-07,,,0.001,1.172383E-07
0.001258925,6.234477E-08,,,0.001258925,6.234476E-08,,,0.001258925,6.234476E-08
0.001584893,3.239707E-08,,,0.001584893,3.239707E-08,,,0.001584893,3.239707E-08
0.001995262,1.653969E-08,,,0.001995262,1.653969E-08,,,0.001995262,1.653969E-08
0.002511886,8.339661E-09,,,0.002511886,8.33966E-09,,,0.002511886,8.339661E-09
0.003162278,4.173672E-09,,,0.003162278,4.173672E-09,,,0.003162278,4.173672E-09
0.003981072,2.082491E-09,,,0.003981072,2.082491E-09,,,0.003981072,2.082491E-09
0.005011872,1.039986E-09,,,0.005011872,1.039986E-09,,,0.005011872,1.039986E-09
0.006309573,5.21479E-10,,,0.006309573,5.214789E-10,,,0.006309573,5.214787E-10
0.007943282,2.631972E-10,,,0.007943282,2.631972E-10,,,0.007943282,2.631972E-10
0.01,1.339453E-10,,,0.01,1.339453E-10,,,0.01,1.33944E-10
0.01258925,6.881298E-11,,,0.01258925,6.881298E-11,,,0.01258925,6.881301E-11
0.01584893,3.570909E-11,,,0.01584893,3.570909E-11,,,0.01584893,3.571313E-11
0.01995262,1.872191E-11,,,0.01995262,1.872191E-11,,,0.01995262,1.871897E-11
0.02511886,9.91655E-12,,,0.02511886,9.916549E-12,,,0.02511886,9.908594E-12
0.03162278,5.305279E-12,,,0.03162278,5.305279E-12,,,0.03162278,5.309734E-12
0.03981072,2.865795E-12,,,0.03981072,2.865795E-12,,,0.03981072,2.878364E-12
0.05011872,1.562422E-12,,,0.05011872,1.562422E-12,,,0.05011872,1.564439E-12
0.06309573,8.593739E-13,,,0.06309573,8.593739E-13,,,0.06309573,8.485743E-13
0.07943282,4.76656E-13,,,0.07943282,4.76656E-13,,,0.07943282,4.65599E-13
0.1,2.664858E-13,,,0.1,2.664858E-13,,,0.1,2.641448E-13
